City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
launceston,-41.45,147.17,39,93,75,9.17,AU
marakkanam,12.2,79.95,83.62,80,98,15.03,IN
busselton,-33.65,115.33,50,66,36,13.85,AU
quatre cocos,-20.21,57.76,69.8,60,75,10.29,MU
ushuaia,-54.8,-68.3,32,87,0,4.7,AR
dingle,11,122.67,77.22,85,47,4.74,PH
butaritari,3.07,172.79,82.89,67,5,6.91,KI
hofn,64.25,-15.21,53.6,81,75,4.7,IS
kiboga,0.92,31.77,65.5,73,100,0.76,UG
bethel,41.37,-73.41,91.99,55,20,8.05,US
pizarro,4.95,-77.37,80.73,85,100,12.53,CO
saint-philippe,-21.36,55.77,68,68,75,12.75,RE
atuona,-9.8,-139.03,80.04,79,24,19.62,PF
hilo,19.73,-155.09,82.4,54,1,4.7,US
port elizabeth,-33.92,25.57,60.8,100,23,6.93,ZA
lavrentiya,65.58,-171,44.98,78,100,7.14,RU
hermanus,-34.42,19.23,57.99,80,0,1.01,ZA
port lincoln,-34.73,135.87,52.72,64,79,4.99,AU
chuy,-33.7,-53.46,69.53,80,100,7.85,UY
hithadhoo,-0.6,73.08,84,79,100,14.27,MV
ribeira grande,38.52,-28.7,73.4,60,75,5.82,PT
cape town,-33.93,18.42,59,87,0,2.24,ZA
vila franca do campo,37.72,-25.43,73.4,60,40,10.29,PT
punta arenas,-53.15,-70.92,33.8,80,75,6.93,CL
karagaylinskiy,54.17,86.55,63.19,87,44,2.17,RU
saint george,37.1,-113.58,100.99,13,1,13.87,US
virginia beach,36.85,-75.98,100,47,40,9.17,US
gravdal,68.12,13.5,55.4,82,75,4.7,NO
kahului,20.89,-156.47,82.4,58,40,18.34,US
shache,38.42,77.24,75.67,27,100,5.21,CN
port alfred,-33.59,26.89,59.83,60,0,5.84,ZA
labuhan,-6.88,112.21,77.27,87,36,7,ID
fairview,40.81,-74,96.8,46,20,5.82,US
castro,-24.79,-50.01,68.72,60,0,6.62,BR
bambous virieux,-20.34,57.76,69.8,60,75,10.29,MU
albany,42.6,-73.97,93,32,13,5.01,US
te anau,-45.42,167.72,41.45,90,97,2.64,NZ
kapaa,22.08,-159.32,82.4,74,90,14.99,US
tual,-5.67,132.75,79.12,84,39,17.34,ID
barrow,71.29,-156.79,33.8,86,90,10.29,US
carnarvon,-24.87,113.63,55.4,71,0,8.05,AU
poptun,16.33,-89.42,87.37,51,65,1.79,GT
baoqing,46.33,132.21,60.39,94,37,3.67,CN
lebu,-37.62,-73.65,54.23,82,64,11.99,CL
mahibadhoo,3.78,72.97,83.03,77,100,19.13,MV
amapa,1,-52,82.67,75,94,3.49,BR
najran,17.49,44.13,86,40,0,4.7,SA
san patricio,19.22,-104.7,89.6,66,20,11.41,MX
bluff,-46.6,168.33,39,83,100,3,NZ
taltal,-25.4,-70.48,64.2,58,100,3.67,CL
georgetown,5.41,100.34,78.8,94,20,2.24,MY
paraiba do sul,-22.16,-43.29,72,62,0,5.21,BR
foundiougne,14.13,-16.47,93.2,75,75,4.7,SN
itaituba,-4.28,-55.98,95,41,40,6.93,BR
hobart,-42.88,147.33,46.99,81,90,5.82,AU
blagoveshchenka,52.83,79.87,66.42,90,23,6.42,RU
chokurdakh,70.63,147.92,67.05,49,100,9.8,RU
khatanga,71.97,102.5,51.35,69,100,5.97,RU
bredasdorp,-34.53,20.04,60.8,87,0,13.87,ZA
katangli,51.71,143.23,51.73,97,96,13.31,RU
mataura,-46.19,168.86,39,83,100,3,NZ
yellowknife,62.46,-114.35,73,64,75,12.75,CA
yar-sale,66.83,70.83,60.57,54,100,6.31,RU
wembley,-31.93,115.8,50,76,98,10.29,AU
alindao,5.03,21.21,69.62,94,97,2.39,CF
husavik,66.04,-17.34,51.8,66,20,10.29,IS
esperance,-33.87,121.9,50,81,90,5.82,AU
rikitea,-23.12,-134.97,68.11,60,75,14.92,PF
ponta delgada,37.73,-25.67,73.4,60,40,10.29,PT
vaini,-21.2,-175.2,68,82,20,4.7,TO
leningradskiy,69.38,178.42,43.66,73,0,8.57,RU
tasiilaq,65.61,-37.64,48.2,76,40,10.29,GL
big spring,32.25,-101.48,93,29,1,9.17,US
provideniya,64.38,-173.3,47.44,71,74,4.65,RU
